left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,Activity,label
3526.0,3045.0,7.0,Sitting,0
2918.0,219.0,7.0,Sitting,0
3484.0,2363.0,8.0,Sitting,0
3598.0,2942.0,11.0,Sitting,0
3642.0,3263.0,9.0,Sitting,0
3669.0,3463.0,7.0,Sitting,0
3672.0,3498.0,8.0,Sitting,0
3502.0,3426.0,14.0,Sitting,0
2812.0,2497.0,22.0,Sitting,0
3243.0,1911.0,26.0,Sitting,0
2963.0,2444.0,27.0,Sitting,0
3209.0,1860.0,8.0,Sitting,0
3577.0,2986.0,8.0,Sitting,0
3644.0,3198.0,8.0,Sitting,0
3567.0,3191.0,8.0,Sitting,0
3565.0,3252.0,10.0,Sitting,0
3591.0,3196.0,12.0,Sitting,0
3640.0,3387.0,10.0,Sitting,0
3604.0,3439.0,8.0,Sitting,0
3559.0,3540.0,7.0,Sitting,0
3578.0,3553.0,11.0,Sitting,0
3576.0,3350.0,16.0,Sitting,0
3523.0,2811.0,26.0,Sitting,0
3471.0,2804.0,9.0,Sitting,0
3611.0,3145.0,9.0,Sitting,0
3618.0,3278.0,10.0,Sitting,0
3607.0,3315.0,12.0,Sitting,0
3442.0,3338.0,14.0,Sitting,0
3225.0,3457.0,10.0,Sitting,0
3172.0,3487.0,10.0,Sitting,0
3382.0,3444.0,9.0,Sitting,0
3510.0,3414.0,10.0,Sitting,0
3214.0,3386.0,14.0,Sitting,0
3125.0,2915.0,23.0,Sitting,0
3083.0,2943.0,28.0,Sitting,0
1940.0,3432.0,5.0,Sitting,0
3242.0,3547.0,5.0,Sitting,0
3487.0,3639.0,6.0,Sitting,0
3630.0,3632.0,8.0,Sitting,0
3675.0,3637.0,11.0,Sitting,0
3657.0,3610.0,9.0,Sitting,0
3650.0,3525.0,9.0,Sitting,0
3508.0,3157.0,12.0,Sitting,0
3483.0,3307.0,25.0,Sitting,0
3593.0,3039.0,7.0,Sitting,0
3495.0,3401.0,6.0,Sitting,0
3471.0,3548.0,8.0,Sitting,0
3502.0,3538.0,11.0,Sitting,0
3546.0,3480.0,11.0,Sitting,0
3476.0,3564.0,9.0,Sitting,0
3442.0,3586.0,8.0,Sitting,0
3406.0,3555.0,5.0,Sitting,0
3512.0,3628.0,7.0,Sitting,0
908.0,3357.0,14.0,Sitting,0
3408.0,2899.0,8.0,Sitting,0
3523.0,3371.0,6.0,Sitting,0
3581.0,3475.0,6.0,Sitting,0
3562.0,3598.0,8.0,Sitting,0
3598.0,3617.0,11.0,Sitting,0
3635.0,3590.0,10.0,Sitting,0
3673.0,3639.0,8.0,Sitting,0
3658.0,3607.0,10.0,Sitting,0
2360.0,2316.0,18.0,Sitting,0
2081.0,434.0,28.0,Sitting,0
2729.0,85.0,13.0,Sitting,0
3526.0,1950.0,10.0,Sitting,0
3634.0,3330.0,9.0,Sitting,0
3639.0,3413.0,8.0,Sitting,0
3640.0,3407.0,10.0,Sitting,0
3616.0,3367.0,14.0,Sitting,0
3592.0,3508.0,12.0,Sitting,0
3558.0,3618.0,10.0,Sitting,0
3269.0,3449.0,12.0,Sitting,0
501.0,2686.0,19.0,Sitting,0
3022.0,3169.0,8.0,Sitting,0
3119.0,3387.0,8.0,Sitting,0
3088.0,3509.0,9.0,Sitting,0
3361.0,3613.0,10.0,Sitting,0
3333.0,3584.0,11.0,Sitting,0
3425.0,3645.0,9.0,Sitting,0
3453.0,3577.0,9.0,Sitting,0
3494.0,3408.0,17.0,Sitting,0
3211.0,2686.0,27.0,Sitting,0
3251.0,2192.0,10.0,Sitting,0
3572.0,3135.0,9.0,Sitting,0
3636.0,3141.0,7.0,Sitting,0
3665.0,3085.0,7.0,Sitting,0
3653.0,3266.0,9.0,Sitting,0
3647.0,3533.0,12.0,Sitting,0
3636.0,3558.0,11.0,Sitting,0
3625.0,3595.0,9.0,Sitting,0
3533.0,3455.0,10.0,Sitting,0
3458.0,3339.0,16.0,Sitting,0
3176.0,3175.0,23.0,Sitting,0
2488.0,1840.0,28.0,Sitting,0
3307.0,3224.0,8.0,Sitting,0
3484.0,3511.0,9.0,Sitting,0
3471.0,3543.0,11.0,Sitting,0
3587.0,3529.0,11.0,Sitting,0
3613.0,3517.0,9.0,Sitting,0
3609.0,3561.0,7.0,Sitting,0
3574.0,3452.0,9.0,Sitting,0
2563.0,3261.0,14.0,Sitting,0
2759.0,3176.0,22.0,Sitting,0
3309.0,2914.0,8.0,Sitting,0
3624.0,3510.0,9.0,Sitting,0
3624.0,3580.0,9.0,Sitting,0
3619.0,3561.0,11.0,Sitting,0
3392.0,3498.0,9.0,Sitting,0
3682.0,3655.0,8.0,Sitting,0
3688.0,3668.0,8.0,Sitting,0
3584.0,3259.0,12.0,Sitting,0
3596.0,2620.0,24.0,Sitting,0
2759.0,1659.0,9.0,Sitting,0
3340.0,2614.0,10.0,Sitting,0
3331.0,2733.0,11.0,Sitting,0
3353.0,3065.0,10.0,Sitting,0
3441.0,3414.0,8.0,Sitting,0
3611.0,3581.0,6.0,Sitting,0
3663.0,3632.0,7.0,Sitting,0
3531.0,3476.0,12.0,Sitting,0
3469.0,3357.0,21.0,Sitting,0
3624.0,516.0,8.0,Sitting,0
3586.0,1.0,9.0,Sitting,0
3598.0,242.0,11.0,Sitting,0
3615.0,1698.0,10.0,Sitting,0
3608.0,3342.0,9.0,Sitting,0
3548.0,3524.0,8.0,Sitting,0
2904.0,3259.0,16.0,Sitting,0
1933.0,2659.0,28.0,Sitting,0
2525.0,2957.0,12.0,Standing,1
2179.0,3327.0,11.0,Standing,1
2778.0,2662.0,12.0,Standing,1
3623.0,3450.0,7.0,Standing,1
3627.0,3506.0,4.0,Standing,1
3679.0,3586.0,3.0,Standing,1
3184.0,3225.0,5.0,Standing,1
695.0,1743.0,12.0,Standing,1
3648.0,3101.0,11.0,Standing,1
3733.0,2850.0,7.0,Standing,1
1379.0,2735.0,6.0,Standing,1
3406.0,2808.0,6.0,Standing,1
3562.0,3029.0,7.0,Standing,1
2309.0,2819.0,12.0,Standing,1
3635.0,3584.0,13.0,Standing,1
3312.0,3423.0,11.0,Standing,1
3463.0,3443.0,9.0,Standing,1
3692.0,3635.0,9.0,Standing,1
3167.0,3196.0,10.0,Standing,1
3651.0,3553.0,13.0,Standing,1
3661.0,3455.0,7.0,Standing,1
3534.0,3333.0,6.0,Standing,1
2253.0,614.0,7.0,Standing,1
3551.0,3416.0,14.0,Standing,1
3589.0,3365.0,11.0,Standing,1
